Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ажажа,Зиновій,Іванович,Чоловіча,1947-01-12,Модельєр,хутір Севастополь,"сквер Польова, буд. 03 кв. 120, Яремче, 28988",+380 39 454 53 19,sviatoslavazasiadko@example.org
Кабаненко,Онисим,Петрович,Чоловіча,1975-03-29,Модель,село Чугуїв,"сквер Якутська, буд. 026 кв. 586, Почаїв, 49935",000 103 26 02,snizhanafomenko@example.org
Девдюк,Альберт,Романович,Чоловіча,1990-04-23,Модельєр,хутір Сокиряни,"вулиця Аграрна, буд. 9 кв. 14, Дубровиця, 07618",043 87 90,tetiana46@example.com
Шаблій,Ігнат,Вікторович,Чоловіча,1967-04-24,Кінорежисер,місто Галич,"узвіз Керченський 3-й, буд. 116 кв. 447, Зугрес, 23971",036 15 93,eduardzabara@example.org
Назаренко,Аліна,Андріївна,Жіноча,1958-07-05,Лікар,село Сокаль,"провулок Просвіти, буд. 12 кв. 7, Тиврів, 26298",354-91-27,hordii28@example.net
Хмара,Лілія,Сергіївна,Жіноча,1945-09-11,Мікробіолог,хутір Ходорів,"провулок Восьмого березня 4-й, буд. 379, Рудки, 55292",811-92-44,tkhudobiak@example.net
Бабійчук,Хома,Євгенович,Чоловіча,1953-06-04,Стропальник,село Коростишів,"вулиця Республіканська, буд. 730, Біляївка, 45580",009 18 57,sbaran@example.com
Тягнибок,Прохір,Юрійович,Чоловіча,1987-08-16,Кінорежисер,селище Новогродівка,"набережна Леха Качинського, буд. 3 кв. 01, Вараш, 18480",+380 14 450-75-72,mariiatovstukha@example.net
Дубас,Емілія,Андріївна,Жіноча,1952-11-08,Паралегал,хутір Зборів,"парк Авангардна, буд. 72 кв. 7, Ужгород, 55750",+380 62 527-10-41,pishchenko@example.com
Сірко,Лариса,Іванівна,Жіноча,1976-07-16,Петрограф,село Кривий Ріг,"проспект Зоряна, буд. 95 кв. 3, Лозова , 29890",+380 02 838-48-01,leonid24@example.com
Таран,Владислав,Павлович,Чоловіча,1991-02-17,Флорист,селище Вознесенськ,"проспект Заньковецької, буд. 3, Кипуче, 56939",061 599-67-72,oksana26@example.com
Скиба,Венедикт,Іванович,Чоловіча,1989-12-16,Детектив,хутір Новий Буг,"площа Селекційна, буд. 5, Зимогір'я, 74041",060 859 89 67,iesypenkomykolai@example.org
Дергач,Андрій,Леонідович,Чоловіча,1959-12-30,Географ,хутір Червоноград,"вулиця Лінія 37-ма, буд. 719, Подільськ, 52730",029 756-13-14,vitalii52@example.net
Андрієнко,Ярослава,Федорівна,Жіноча,1957-09-24,Золотар,хутір Лозова ,"узвіз Брестська, буд. 030 кв. 05, Тульчин, 39989",053 427-24-76,obazylevych@example.net
Ніколюк,Єлисавета,Володимирівна,Жіноча,1940-11-05,Швачка,місто Герца,"шосе Митракова, буд. 1 кв. 83, Таврійськ, 51790",+380 (15) 012-86-04,ubabii@example.net
Малик,Ярина,Вікторівна,Жіноча,1952-12-24,Фермер,місто Радехів,"узвіз Вчительська, буд. 9 кв. 54, Олександрівськ, 94163",+380 (21) 435-01-13,orynadanko@example.com
Дашенко,Яків,Романович,Чоловіча,1999-11-13,Громадський діяч,місто Красногорівка,"провулок Удільний, буд. 121, Кропивницький, 82117",077 925-45-30,havrylobezborodko@example.org
Сомко,Галина,Романівна,Жіноча,1970-08-04,Епідеміолог,місто Заставна,"площа Східний 1-й, буд. 904 кв. 533, Лебедин, 94149",+380 11 549-53-82,zlatoslava13@example.net
Дейсун,Стефан,Григорович,Чоловіча,2006-02-12,Скульптор,селище Авдіївка,"парк Ткачова, буд. 3 кв. 582, Долина , 46144",066 835 43 03,arkhymovycholeh@example.net
Рубець,Хома,Федорович,Чоловіча,1949-05-07,Стоматолог,хутір Прип'ять ,"площа Вчительської, 2-й, буд. 31 кв. 67, Дружба , 63249",+380 64 748 46 12,eisaienko@example.com
Закусило,Єлисей,Григорович,Чоловіча,1975-07-03,Локсмайстер,село Соледар,"проспект Комітетська, буд. 1, Винники, 05790",294 75 79,halyna15@example.net
Баклан,Віолетта,Олександрівна,Жіноча,2005-06-27,Фермер,село Корець,"провулок Садова 2-га, буд. 2, Рені, 93400",022 401 95 11,oleksandr08@example.org
Чередник,Симон,Вікторович,Чоловіча,1946-02-27,Електромонтажник,місто Глиняни,"площа Івана Микитенка, буд. 138, Калуш, 44761",+380 60 954-86-95,odarka76@example.com
Дубенко,Олекса,Романович,Чоловіча,1976-08-03,Кухар,селище Овруч,"набережна Героїв Небесної Сотні, буд. 02 кв. 02, Черкаси, 45934",+380 25 650-10-61,vholoborodko@example.net
Акуленко,Демид,Володимирович,Чоловіча,1940-08-27,Локсмайстер,хутір Теребовля,"сквер Прибережний, буд. 33, Кипуче, 56692",057 432 95 12,oleksandrzabila@example.net
Товстуха,Аркадій,Федорович,Чоловіча,1953-08-03,Державний службовець,селище Судова Вишня,"набережна Леваневського, буд. 38, Верхівцеве, 66939",089 417-71-30,chmilvarfolomii@example.org
Бабій,Руслан,Петрович,Чоловіча,1984-11-22,Антрополог,селище Тетіїв,"парк Лінія 46-та, буд. 665, Хрестівка, 76260",+380 (11) 450-08-96,khoma35@example.net
Тимчук,Онисим,Андрійович,Чоловіча,1975-02-13,Вчитель,хутір Вільнянськ,"сквер Селекційна, буд. 4 кв. 016, Бориспіль, 38549",+380 (52) 792-85-92,davymukamariana@example.net
Базилевич,Святослав,Миколайович,Чоловіча,2005-05-19,Мікробіолог,місто Скалат,"узвіз Трудовий, буд. 3, Соледар, 40925",931-50-50,demianbhydenko@example.net
Ярош,Ярина,Василівна,Жіноча,2001-03-21,Візажист,село Сарни,"сквер Асташкіна, буд. 0, Молодогвардійськ, 21432",001-77-06,pavloderevianko@example.org
Ляшко,Мирослав,Іванович,Чоловіча,1988-07-09,Єгер,село Кадіївка,"площа Біляївська, буд. 35, Снігурівка, 46382",089 817 72 89,alevtynhodunok@example.com
Авраменко,Амалія,Віталіївна,Жіноча,1946-06-03,Медик,хутір Тульчин,"парк Пiвденний, буд. 211, Гірське, 17939",052 994-49-96,danylosimashkevych@example.com
Базилевич,Марина,Ярославівна,Жіноча,1941-03-05,Електрик,село Марганець ,"провулок Іванова 1-й, буд. 1, Токмак, 31204",+380 43 613-09-93,ihnat66@example.org
Бабій,Святослав,Вікторович,Чоловіча,1984-04-19,Няня,хутір Кам'янка-Бузька,"набережна Чапаєва 2-й, буд. 64 кв. 8, Синельникове, 56764",062-30-64,babiiemiliia@example.com
Єрошенко,Тетяна,Володимирівна,Жіноча,1962-01-18,Юрист,селище Сторожинець,"проспект 8-ма Лінія Дачі Ковалевського, буд. 2, Феодосія, 38729",+380 48 737 40 00,kalchenkosymon@example.net
Міщенко,Єфрем,Володимирович,Чоловіча,1994-12-02,Кушнір,селище Любомль,"вулиця Адміральський, буд. 599 кв. 708, Рожище, 32424",+380 84 984 20 84,hsuprunenko@example.net
Шамрай,Ярина,Григорівна,Жіноча,1999-05-13,Штукатур,село Мена ,"шосе Юхима Геллера, буд. 26 кв. 54, Яремче, 14308",021 487-84-39,demydnikoliuk@example.net
Іванченко,Юстина,Петрівна,Жіноча,1992-11-12,Професор,хутір Ладижин,"проспект Шкільний, буд. 3 кв. 8, Ічня, 16984",772 31 46,jskyrda@example.com
Якименко,Вадим,Григорович,Чоловіча,1985-08-31,Драматург,селище Коломия,"узвіз Поштовий, буд. 002, Очаків, 42076",+380 94 069-21-39,ptereshchuk@example.net
Баранник,Єфрем,Дмитрович,Чоловіча,1963-05-10,Хореограф,хутір Нова Одеса,"вулиця Перемоги, буд. 79 кв. 9, Ворожба, 48711",721-12-52,zynoviikyrylenko@example.com
Гавришкевич,Еріка,Павлівна,Жіноча,2001-07-21,Хімік,селище Старокостянтинів,"площа Гаршина, буд. 95 кв. 9, Підгайці, 62869",059 870 95 60,iievtushenko@example.com
